uid,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,haversine,passenger_count,pickup_day,holiday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,weekend,pickup_hour,rush_hour,overnight,LGA_pickup,LGA_dropoff,JFK_pickup,JFK_dropoff,EWR_pickup,EWR_dropoff,change_borough,quick_trip,Outlier_dropoff,Outlier_pickup
46759,3.5,-73.970948,40.758127,-73.974643,40.753307,0.38510882028862664,1,4,0,0,0,0,0,1,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0
24472,31.25,-73.997392,40.751825,-74.036135,40.723737,2.807178760206223,1,24,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0
2762,5.0,-73.97367,40.755915,-73.982917,40.756787,0.4877030592274693,1,26,0,0,0,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,1,0,0
5519,5.5,-73.961109,40.760664,-73.953582,40.767419,0.6107298703312768,1,11,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
17979,56.8,-73.790277,40.643616,-73.987383,40.745758,12.506995192386764,1,24,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,1,0,0,0
5603,8.0,-73.965958,40.778127,-73.965958,40.778127,0.0,1,11,0,0,0,0,0,1,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0
27690,34.0,-73.97756,40.752042,-74.011327,40.655817,6.879751107470623,1,21,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0
6740,6.5,-73.964858,40.775348,-73.972867,40.764527,0.8571053428007469,3,11,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
12810,7.0,-73.948045,40.782997,-73.957175,40.777362,0.6162448021061442,2,21,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
60465,7.5,-73.949715,40.771065,-73.949612,40.776683,0.3882042426268681,1,4,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
4486,8.0,-73.959,40.774873,-73.956953,40.786322,0.7982672528248718,5,6,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,1,0,0
27796,7.5,-73.986357,40.74918,-73.99395,40.749397,0.39772549865763335,1,17,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
52756,14.0,-73.982031,40.77058,-74.003714,40.731948,2.900478762498736,2,24,0,0,0,0,1,0,0,0,22,0,1,0,0,0,0,0,0,0,1,0,0
69779,10.0,-73.989267,40.768103,-73.96995,40.759215,1.182808078961791,3,7,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
51415,6.0,-73.979854,40.786199,-73.983779,40.773679,0.8890897585058698,1,21,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
34635,11.0,-73.989685,40.727919,-73.960033,40.76183,2.810526561084052,3,19,0,0,0,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,1,0,0
15625,9.0,-73.974757,40.790802,-73.976522,40.775487,1.0621869721455675,1,21,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
66269,4.0,-73.980197,40.748562,-73.983827,40.743505,0.3977311314676279,5,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
33135,7.5,-73.982662,40.744957,-74.000593,40.746255,0.9428947543890845,1,31,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
41549,4.5,-73.974801,40.756175,-73.969077,40.762492,0.5293779133680868,1,11,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
1190,16.0,-73.995184,40.709418,-73.995184,40.709418,0.0,1,10,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
25117,27.5,-74.006595,40.742493,-73.945972,40.729703,3.294568627389209,1,26,0,0,0,0,0,0,1,1,21,0,1,0,0,0,0,0,0,0,1,0,0
1675,12.0,-73.988866,40.777738,-73.964031,40.758584,1.8548124212478367,1,16,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
14451,18.0,-73.990052,40.737,-73.964163,40.719215,1.8296239583845386,1,28,0,1,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0
2133,10.5,-73.9821,40.771452,-73.962697,40.765267,1.1015937460036231,1,11,0,0,0,0,0,1,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0
60497,52.0,-73.790296,40.643705,-73.952281,40.771404,12.240460205795216,1,4,0,0,0,0,0,1,0,0,22,0,1,0,0,1,0,0,0,1,0,0,0
18515,9.0,-73.990515,40.740393,-73.975245,40.717987,1.7423760517251188,1,12,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
65645,18.5,-73.963627,40.765867,-73.9954,40.733885,2.7656540929060363,1,25,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
63941,15.5,-74.001432,40.73719,-73.962995,40.766427,2.8510095753955564,5,4,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
19032,18.5,-73.994112,40.690805,-73.98387,40.759205,4.756321452284618,2,2,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
23150,20.5,-73.984745,40.761647,-74.013922,40.702841,4.340788209701611,1,5,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,1,0,0
24446,37.3,-73.862932,40.769102,-73.986452,40.758172,6.50801519265782,1,17,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0
30804,18.0,-74.001849,40.724668,-73.990628,40.775008,3.527404661920974,1,30,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
6203,4.0,-73.96184,40.770993,-73.960966,40.766954,0.28279104246113484,1,18,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0
21957,4.0,-73.965881,40.768236,-73.959998,40.77444,0.5277377407226623,1,31,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0
61685,9.0,-74.004417,40.718787,-73.991359,40.736614,1.4087686214506328,1,26,0,0,0,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,1,0,0
45443,10.5,-73.989985,40.752587,-73.982683,40.731552,1.502807550440258,1,5,0,0,0,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,1,0,0
45634,15.0,-73.978796,40.751133,-73.9724,40.7914,2.802242073120087,1,1,1,0,1,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0
10750,6.5,-73.964347,40.764631,-73.948419,40.774653,1.0835882976296263,2,19,0,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,1,0,0
62520,6.0,-74.0025,40.728375,-74.009207,40.716235,0.9093532589958317,1,9,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0,0,0,0,1,0,0
44988,6.5,-73.984452,40.721769,-74.001899,40.728084,1.012416179740045,3,16,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
8177,6.0,-73.956453,40.775552,-73.960395,40.768737,0.51406803732118,6,18,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
27793,12.0,-73.951375,40.77411,-73.972223,40.756882,1.6146721772582502,1,30,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
25908,31.3,-73.958832,40.775753,-73.864887,40.770387,4.929595510040285,2,18,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0
7413,11.5,-73.978243,40.756562,-73.98012,40.730297,1.8173967286752424,3,24,0,0,0,0,1,0,0,0,23,0,1,0,0,0,0,0,0,0,1,0,0
18621,4.0,-73.997552,40.75728,-73.992415,40.754827,0.3178228971631108,1,26,0,0,0,0,0,0,1,1,21,0,1,0,0,0,0,0,0,0,1,0,0
57790,38.5,-73.870815,40.77362,-73.982057,40.76271,5.869725980599926,1,23,0,0,0,1,0,0,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0
59143,6.0,-73.998635,40.738118,-73.991783,40.727105,0.8412532594063596,5,5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
29656,7.0,-73.98911,40.736349,-73.977924,40.750474,1.138135774572023,1,3,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
25122,13.5,-73.963612,40.771597,-73.930185,40.756922,2.021902037196526,1,14,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
17187,3.5,-73.984563,40.767708,-73.98324,40.762468,0.3686097745738671,1,11,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
47334,6.5,-73.969188,40.790197,-73.952015,40.790112,0.8983583018186139,5,25,0,0,0,0,0,1,0,0,22,0,1,0,0,0,0,0,0,0,1,0,0
5664,10.5,-73.994283,40.726717,-73.970793,40.748669,1.9526400594087179,2,12,0,0,0,0,0,0,1,1,22,0,1,0,0,0,0,0,0,0,1,0,0
48114,10.0,-73.959031,40.783376,-73.975797,40.760122,1.830606479200469,1,2,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
25630,6.0,-73.976603,40.751625,-73.991352,40.749387,0.7873314350628373,1,28,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
51378,6.5,-73.9822,40.765037,-73.981057,40.753652,0.7888997916385438,1,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39360,11.5,-73.981965,40.775852,-73.963564,40.80372,2.1526954368419173,2,23,0,0,0,1,0,0,0,0,23,0,1,0,0,0,0,0,0,0,1,0,0
55671,14.5,-73.992292,40.72516,-73.98565,40.761407,2.5284496816539344,1,12,0,0,0,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,1,0,0
56924,9.0,-73.979427,40.752467,-73.958645,40.780987,2.250717747108161,1,7,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
35595,5.0,-73.951548,40.802875,-73.941771,40.804167,0.5190766357313392,1,6,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0
57594,14.0,-73.980306,40.676709,-73.99672,40.69548,1.556165190449116,4,19,0,0,0,0,0,0,1,1,23,0,1,0,0,0,0,0,0,1,0,0,0
28181,5.0,-73.990365,40.730772,-73.989525,40.73973,0.6204992650685018,1,7,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
44622,33.5,-73.8709,40.773672,-73.988858,40.686085,8.646806251966256,3,7,0,1,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,1,0,0,0
19449,9.0,-74.004653,40.742037,-74.006772,40.718897,1.602666567709261,5,12,0,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,1,0,0
12745,8.0,-73.981935,40.759107,-73.972852,40.758842,0.4757175641152572,1,30,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0
13192,10.0,-74.000648,40.729951,-73.981368,40.723603,1.100684503801036,1,23,0,0,0,1,0,0,0,0,22,0,1,0,0,0,0,0,0,0,1,0,0
55131,5.0,-73.979082,40.747245,-73.982397,40.7486,0.19716684709945773,1,4,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
21023,13.5,-73.982422,40.772297,-73.993615,40.73576,2.5915506670019517,1,17,0,0,0,0,1,0,0,0,22,0,1,0,0,0,0,0,0,0,1,0,0
62682,27.5,-73.972265,40.756695,-73.892923,40.766047,4.202244442205577,1,24,0,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0,0,1,0,0,0
33698,32.3,-73.863752,40.768505,-73.95598,40.814452,5.775263647657588,1,15,0,0,1,0,0,0,0,0,18,1,0,1,0,0,0,0,0,1,0,0,0
41897,8.0,-73.987197,40.729217,-73.976207,40.750965,1.6090200854609276,5,14,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
57908,9.0,-73.984438,40.724862,-74.008886,40.73109,1.3504904742338282,1,6,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0
16150,20.0,-74.012072,40.709126,-73.985522,40.76188,3.9009998262871504,1,31,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
18893,4.5,-73.992115,40.759215,-74.00072,40.747177,0.9458601973591357,1,9,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0
14745,36.3,-73.874476,40.774032,-73.973733,40.782969,5.2297392135900225,1,4,0,0,0,0,0,1,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0
35316,20.5,-74.00393,40.72561,-73.949214,40.762957,3.8551854722915,1,22,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
45795,10.0,-74.007887,40.723437,-73.982488,40.739785,1.744787467910462,4,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
60302,6.5,-73.982224,40.75756,-73.98263,40.770841,0.917875642121851,1,25,0,0,0,0,0,1,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0
55745,7.5,-73.99466,40.740435,-73.979882,40.741487,0.7770335027264372,1,8,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
27028,6.5,-73.98881,40.736785,-73.989608,40.74805,0.7794576024446195,1,1,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
19191,13.5,-73.977448,40.725964,-73.952647,40.775671,3.6715725085851396,2,20,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0
32983,11.5,-73.989173,40.77717,-73.964395,40.760487,1.7348796478159234,2,3,0,0,0,0,1,0,0,0,22,0,1,0,0,0,0,0,0,0,1,0,0
8652,5.5,-73.994193,40.746152,-74.004815,40.739837,0.7067981515005152,5,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
17646,17.5,-73.967895,40.757851,-74.004594,40.708224,3.9305458441363457,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8818,8.0,-73.969353,40.763755,-73.974647,40.77825,1.0391139599538084,2,16,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
68580,5.0,-73.999004,40.744481,-73.990297,40.738548,0.613027913669154,1,29,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0
57539,8.0,-73.98012,40.758153,-73.996142,40.759113,0.8411460709108204,1,28,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
1579,16.5,-73.990898,40.748614,-74.01436,40.714042,2.686050802807803,2,11,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
62318,16.5,-73.95957,40.718093,-73.96449,40.673967,3.059690811906641,2,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
47161,7.0,-74.001005,40.747085,-73.987548,40.744787,0.722092011237912,6,24,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
22614,8.0,-73.995065,40.725372,-73.989298,40.714147,0.8322963400072133,1,26,0,0,0,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,1,0,0
39711,30.5,-74.006732,40.731546,-74.012195,40.720702,0.8019971131612642,1,16,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
23395,4.5,-73.974525,40.790235,-73.982237,40.775402,1.101421803279273,1,26,0,0,0,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,1,0,0
21616,13.0,-73.995042,40.68879,-74.016092,40.711452,1.9150800211661032,5,30,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
18413,20.0,-73.96442,40.807452,-74.008392,40.742172,5.063334211801707,1,25,0,0,0,0,0,1,0,0,23,0,1,0,0,0,0,0,0,0,1,0,0
2506,7.0,-73.996852,40.723917,-73.987387,40.73892,1.1489732876032606,1,8,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
1698,10.0,-73.968337,40.762145,-73.958772,40.777802,1.1919690275044992,6,19,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,1,0,0
21902,8.0,-73.989407,40.75735,-73.971775,40.758175,0.9245585684249157,5,10,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
26960,23.0,-73.783535,40.648647,-73.88238,40.656262,5.208046948990806,1,31,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0
2254,6.0,-73.962102,40.75945,-73.965568,40.769327,0.7061285006325833,2,10,0,0,0,0,1,0,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0
21422,6.5,-73.958645,40.780785,-73.967943,40.762788,1.335265262596567,1,5,0,0,0,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,1,0,0
32480,6.5,-73.992327,40.758872,-73.978883,40.75296,0.8136068458224845,1,19,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,1,0,0
49918,4.5,-73.95821,40.773083,-73.949608,40.783599,0.8546825018156393,1,18,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
49382,8.5,-73.960373,40.766085,-73.980103,40.748923,1.5723715696546026,1,1,1,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0
